Generation,Diversity
1,1
2,1
3,1
4,1
5,1
6,1
7,1
8,2
9,4
10,1
11,1
12,3
13,1
14,1
15,1
16,1
17,1
18,2
19,1
20,1
21,1
22,1
23,1
24,2
25,1
26,1
27,1
28,1
29,2
30,1
31,1
32,1
33,2
34,2
35,1
36,1
37,2
38,1
39,1
40,1
41,1
42,1
43,1
44,2
45,2
46,2
47,2
48,2
49,1
50,1
51,2
52,1
53,1
54,1
55,2
56,1
57,3
58,2
59,1
60,2
61,1
62,1
63,1
64,2
65,1
66,1
67,1
68,1
69,1
70,1
71,1
72,1
73,1
74,1
75,1
76,1
77,1
78,1
79,1
80,2
81,1
82,1
83,1
84,1
85,1
86,1
87,2
88,1
89,1
90,1
91,1
92,1
93,2
94,1
95,2
96,1
97,1
98,1
99,1
